0.025	0.025	0
0.05	0.025	0
0.075	0.025	0.00102
0.1	0.025	0.0117
0.125	0.025	0.0418
0.15	0.025	0.07117
0.175	0.025	0.09603
0.2	0.025	0.12515
0.225	0.025	0.15357
0.25	0.025	0.17214
0.275	0.025	0.1965
0.3	0.025	0.21288
0.325	0.025	0.2195
0.35	0.025	0.24694
0.375	0.025	0.25645
0.4	0.025	0.26488
0.425	0.025	0.27354
0.45	0.025	0.28768
0.475	0.025	0.29464
0.5	0.025	0.29976
0.525	0.025	0.31443
0.55	0.025	0.32174
0.575	0.025	0.32844
0.6	0.025	0.33467
0.625	0.025	0.33404
0.65	0.025	0.34588
0.675	0.025	0.35027
0.7	0.025	0.35964
0.725	0.025	0.35947
0.75	0.025	0.36934
0.775	0.025	0.37163
0.8	0.025	0.37793
0.825	0.025	0.37609
0.85	0.025	0.38331
0.875	0.025	0.38798
0.9	0.025	0.39116
0.925	0.025	0.39308
0.95	0.025	0.39925
0.975	0.025	0.40278
1	0.025	0.4017
0.025	0.05	0
0.05	0.05	0
0.075	0.05	7E-4
0.1	0.05	0.01244
0.125	0.05	0.03974
0.15	0.05	0.07331
0.175	0.05	0.10056
0.2	0.05	0.12638
0.225	0.05	0.15091
0.25	0.05	0.17386
0.275	0.05	0.19202
0.3	0.05	0.21006
0.325	0.05	0.22331
0.35	0.05	0.23826
0.375	0.05	0.25421
0.4	0.05	0.25824
0.425	0.05	0.27625
0.45	0.05	0.27394
0.475	0.05	0.29266
0.5	0.05	0.3024
0.525	0.05	0.30298
0.55	0.05	0.31614
0.575	0.05	0.32444
0.6	0.05	0.33159
0.625	0.05	0.33865
0.65	0.05	0.34291
0.675	0.05	0.34509
0.7	0.05	0.35141
0.725	0.05	0.36431
0.75	0.05	0.35889
0.775	0.05	0.36736
0.8	0.05	0.37646
0.825	0.05	0.37387
0.85	0.05	0.38284
0.875	0.05	0.38383
0.9	0.05	0.38268
0.925	0.05	0.39403
0.95	0.05	0.39484
0.975	0.05	0.39514
1	0.05	0.40441
0.025	0.075	0
0.05	0.075	0
0.075	0.075	0.00104
0.1	0.075	0.01446
0.125	0.075	0.04261
0.15	0.075	0.07127
0.175	0.075	0.09993
0.2	0.075	0.12754
0.225	0.075	0.14678
0.25	0.075	0.168
0.275	0.075	0.19664
0.3	0.075	0.21093
0.325	0.075	0.22349
0.35	0.075	0.24118
0.375	0.075	0.25294
0.4	0.075	0.26284
0.425	0.075	0.27276
0.45	0.075	0.27599
0.475	0.075	0.2877
0.5	0.075	0.28584
0.525	0.075	0.30504
0.55	0.075	0.31293
0.575	0.075	0.3188
0.6	0.075	0.32489
0.625	0.075	0.33095
0.65	0.075	0.33749
0.675	0.075	0.34465
0.7	0.075	0.34873
0.725	0.075	0.35475
0.75	0.075	0.35644
0.775	0.075	0.36204
0.8	0.075	0.36724
0.825	0.075	0.37362
0.85	0.075	0.37299
0.875	0.075	0.38359
0.9	0.075	0.38599
0.925	0.075	0.38499
0.95	0.075	0.38542
0.975	0.075	0.39311
1	0.075	0.39236
0.025	0.1	0
0.05	0.1	0
0.075	0.1	0.0016
0.1	0.1	0.01403
0.125	0.1	0.03944
0.15	0.1	0.06824
0.175	0.1	0.09696
0.2	0.1	0.12305
0.225	0.1	0.15031
0.25	0.1	0.16479
0.275	0.1	0.18257
0.3	0.1	0.21018
0.325	0.1	0.21582
0.35	0.1	0.23635
0.375	0.1	0.2429
0.4	0.1	0.25482
0.425	0.1	0.26462
0.45	0.1	0.2792
0.475	0.1	0.28268
0.5	0.1	0.29301
0.525	0.1	0.29949
0.55	0.1	0.30661
0.575	0.1	0.32138
